date,tic,open,high,low,close,volume
2021-01-04,ABNB,149.9,150.5,137.25,139.09,257507
2021-01-05,ABNB,138.395,148.5,137.26,148.1,231654
2021-01-06,ABNB,145.75,148.31,141.45,142.8,209728
2021-01-07,ABNB,146.15,154.31,145.27,151.45,148271
2021-01-08,ABNB,153.645,155.47,147.56,149.735,133652
2021-01-11,ABNB,147.58,150.46,144.13,148.25,120202
2021-01-12,ABNB,148.24,163.8,143.62,160.8,236662
2021-01-13,ABNB,161.25,178.38,159.68,170.32,401864
2021-01-14,ABNB,175.49,187.14,175.29,180.68,287432
2021-01-15,ABNB,184.85,185.97,165.14,169.25,258871
2021-01-19,ABNB,174.16,178.43,167.01,173.81,114755
2021-01-20,ABNB,176.2,176.2,161.08,161.67,281234
2021-01-21,ABNB,164.69,183.44,155.34,180.14,632667
2021-01-22,ABNB,178.58,185.21,175.67,181.97,176160
2021-01-25,ABNB,186.145,192.47,170.1,177.84,282486
2021-01-26,ABNB,180.98,192.555,177.4,192.51,190719
2021-01-27,ABNB,186.695,215.98,186.695,201.73,503142
2021-01-28,ABNB,202.9,212.51,187.14,187.3,287380
2021-01-29,ABNB,190.89,193.2,179.32,183.8,125250
2021-02-01,ABNB,188.65,188.65,180.1,180.35,131970
2021-02-02,ABNB,183.375,186.24,177.12,179.16,140052
2021-02-03,ABNB,181.74,190.49,180.02,185.61,80296
2021-02-04,ABNB,187.69,195.99,186.22,195.39,81841
2021-02-05,ABNB,197.25,197.25,190.36,195.14,61798
2021-02-08,ABNB,198.91,201.9,191.96,200.23,90111
2021-02-09,ABNB,200.5,209.22,196.39,199.85,103860
2021-02-10,ABNB,207.47,214.49,202.33,211.63,98619
2021-02-11,ABNB,213.15,219.92,207.0,216.73,114349
2021-02-12,ABNB,214.32,216.93,209.2,212.75,73589
2021-02-16,ABNB,215.575,218.77,209.21,209.64,61992
2021-02-17,ABNB,207.02,207.02,196.24,201.99,138471
2021-02-18,ABNB,199.41,200.2,192.24,197.66,117400
2021-02-19,ABNB,203.77,205.39,200.31,200.92,96521
2021-02-22,ABNB,200.52,204.99,193.51,195.29,151728
2021-02-23,ABNB,189.0,191.195,175.04,187.57,405035
2021-02-24,ABNB,190.51,207.99,189.12,199.9,245737
2021-02-25,ABNB,199.0,199.68,180.01,181.885,586368
2021-02-26,ABNB,194.25,213.89,185.88,206.46,612634
2021-03-01,ABNB,195.79,199.65,193.05,195.8,382160
2021-03-02,ABNB,195.795,200.0,188.72,189.74,209264
2021-03-03,ABNB,186.59,188.43,178.915,180.38,323106
2021-03-04,ABNB,178.68,183.89,170.91,180.5,377290
2021-03-05,ABNB,181.75,182.51,162.31,179.77,319402
2021-03-08,ABNB,179.5,186.29,177.27,180.805,145698
2021-03-09,ABNB,184.51,189.31,180.77,182.92,122329
2021-03-10,ABNB,185.0,190.98,181.895,184.08,225851
2021-03-11,ABNB,189.655,200.57,188.715,197.76,175959
2021-03-12,ABNB,195.57,208.64,192.72,206.15,146819
2021-03-15,ABNB,210.45,213.49,204.27,209.87,92331
2021-03-16,ABNB,209.75,215.37,198.375,200.19,80959
2021-03-17,ABNB,195.11,203.24,194.64,201.45,80248
2021-03-18,ABNB,197.08,199.56,190.85,191.27,185060
2021-03-19,ABNB,191.56,196.34,187.91,194.15,79430
2021-03-22,ABNB,196.24,203.295,194.86,194.86,98282
2021-03-23,ABNB,194.18,195.17,185.85,187.14,134643
2021-03-24,ABNB,189.13,189.14,178.67,179.0,164798
2021-03-25,ABNB,172.59,179.27,170.52,176.06,238530
2021-03-26,ABNB,179.0,181.0,168.14,174.38,130867
2021-03-29,ABNB,175.2,185.27,173.92,182.32,228101
2021-03-30,ABNB,182.96,184.965,178.43,182.98,144326
2021-03-31,ABNB,185.82,192.275,185.46,187.94,125026
2021-04-01,ABNB,191.575,193.98,185.6,188.11,109944
2021-04-05,ABNB,191.7,192.075,185.83,186.68,124455
2021-04-06,ABNB,188.7,194.46,187.88,189.85,121674
2021-04-07,ABNB,190.19,190.52,179.47,180.07,405030
2021-04-08,ABNB,181.5,183.73,179.49,180.2,205957
2021-04-09,ABNB,179.365,182.17,177.35,179.47,153499
2021-04-12,ABNB,179.52,181.15,176.48,176.76,104558
2021-04-13,ABNB,175.52,178.59,172.21,177.85,137626
2021-04-14,ABNB,179.315,181.415,175.35,176.14,156253
2021-04-15,ABNB,177.13,178.19,174.26,175.22,272015
2021-04-16,ABNB,175.81,179.51,173.01,178.5,222232
2021-04-19,ABNB,177.22,178.65,171.52,174.62,250708
2021-04-20,ABNB,173.51,174.85,165.57,169.69,246559
2021-04-21,ABNB,168.06,170.25,164.12,166.97,193680
2021-04-22,ABNB,168.76,176.695,168.43,170.77,203921
2021-04-23,ABNB,172.83,178.19,172.19,174.17,97416
2021-04-26,ABNB,175.24,176.0,171.1,174.7,88541
2021-04-27,ABNB,176.24,179.59,174.91,177.85,135770
2021-04-28,ABNB,174.57,181.6,173.8,180.02,89284
2021-04-29,ABNB,182.245,182.245,173.5,177.46,97146
2021-04-30,ABNB,173.0,176.375,172.18,172.66,185092
2021-05-03,ABNB,173.1,173.1,167.91,168.135,191590
2021-05-04,ABNB,167.54,168.92,161.985,168.85,198426
2021-05-05,ABNB,169.26,170.15,162.13,162.49,155581
2021-05-06,ABNB,162.01,162.01,150.79,153.67,442549
2021-05-07,ABNB,156.0,157.05,148.81,151.11,251496
2021-05-10,ABNB,150.0,150.08,144.59,146.66,248681
2021-05-11,ABNB,139.2,144.32,136.14,142.69,365138
2021-05-12,ABNB,141.07,144.24,138.77,140.19,269727
2021-05-13,ABNB,142.18,142.18,131.34,136.13,693254
2021-05-14,ABNB,137.93,142.25,131.71,141.03,968387
2021-05-17,ABNB,137.51,137.79,130.28,132.665,1484705
2021-05-18,ABNB,133.63,138.39,131.52,134.97,960067
2021-05-19,ABNB,130.005,138.38,130.0,138.155,827096
2021-05-20,ABNB,138.31,138.38,135.73,136.065,485829
2021-05-21,ABNB,137.17,137.17,132.92,134.76,355745
2021-05-24,ABNB,135.64,137.97,134.49,135.79,507472
2021-05-25,ABNB,137.24,137.83,133.59,133.97,914415
2021-05-26,ABNB,134.7,135.65,133.78,134.67,417879
2021-05-27,ABNB,134.8,143.8,134.6,143.05,863562
2021-05-28,ABNB,144.56,144.88,140.27,140.285,539658
2021-06-01,ABNB,143.89,146.02,141.73,144.28,856334
2021-06-02,ABNB,145.35,152.68,144.47,151.0,628449
2021-06-03,ABNB,149.28,151.09,143.85,144.26,454479
2021-06-04,ABNB,145.485,151.51,145.16,150.67,311313
2021-06-07,ABNB,150.78,150.78,146.41,148.95,279801
2021-06-08,ABNB,150.55,150.68,145.89,147.03,280918
2021-06-09,ABNB,148.49,149.16,144.535,144.79,208639
2021-06-10,ABNB,142.15,147.41,141.09,146.1,351887
2021-06-11,ABNB,146.47,148.91,145.25,148.48,169435
2021-06-14,ABNB,149.285,149.47,146.91,149.29,424114
2021-06-15,ABNB,148.94,153.69,148.85,151.81,857428
2021-06-16,ABNB,151.0,152.32,147.01,149.26,325912
2021-06-17,ABNB,148.99,152.21,148.76,150.72,338775
2021-06-18,ABNB,150.37,154.76,149.43,152.5,307830
2021-06-21,ABNB,152.27,152.27,145.86,149.64,311942
2021-06-22,ABNB,149.96,151.58,148.47,149.64,189298
2021-06-23,ABNB,149.7,154.56,147.94,151.6,452107
2021-06-24,ABNB,152.67,153.545,149.96,150.71,782190
2021-06-25,ABNB,151.23,153.09,149.31,149.69,343640
2021-06-28,ABNB,148.61,150.89,147.11,149.89,416799
2021-06-29,ABNB,149.68,149.76,145.8,146.03,443863
2021-06-30,ABNB,145.65,154.06,144.33,153.1,333863
2021-07-01,ABNB,154.46,157.4,151.47,153.09,330504
2021-07-02,ABNB,153.31,154.89,149.59,150.19,202527
2021-07-06,ABNB,150.22,152.73,147.87,148.34,173417
2021-07-07,ABNB,148.15,148.79,143.665,143.78,202774
